,Solar radiation simulation,,,,,,,,,,,,,
,Horizontal surface test 1 m2,,,,,,,,,,,,,
,"Historical,  µ=-0.72, σ=3.59",,,MBE %,MBE,,,"Ineichen 4, µ=-1.10, σ=5.24",,,MBE %,MBE,,
,,,,0.00%,-0.72,,,,,,-2.27%,1.1,,
,GHI,GHI,GHI,RMSE %,RMSE,MAE %,MAE,GHI,GHI,GHI,RMSE %,RMSE,MAE %,MAE
,Simulated,Simulated,Observed,2.20%,3.66005,0.57%,1.37,Simulated,Simulated,Observed,12.80%,5.35,3.38%,3.02
Date and time,kWh/m2 historical,Wh/m2 historical,Wh/m2 historical,ERROR % historical,ERROR historical,|ERROR| % historical,|ERROR| historical,kWh/m2 ineichen 4,Wh/m2 ineichen 4,Wh/m2 Ineichen 4,ERROR % ineichen 4,ERROR Inehchen 4,|ERROR| % Ineichen 4,|ERROR| Ineichen 4
01.01.19 00:00,0,0,0,0.00%,0,0.00%,0,0,0,0,0.00%,0,0.00%,0
01.01.19 01:00,0,0,0,0.00%,0,0.00%,0,0,0,0,0.00%,0,0.00%,0
01.01.19 02:00,0,0,0,0.00%,0,0.00%,0,0,0,0,0.00%,0,0.00%,0
01.01.19 03:00,0,0,0,0.00%,0,0.00%,0,0,0,0,0.00%,0,0.00%,0
01.01.19 04:00,0,0,0,0.00%,0,0.00%,0,0,0,0,0.00%,0,0.00%,0
01.01.19 05:00,0,0,0,0.00%,0,0.00%,0,0,0,0,0.00%,0,0.00%,0
01.01.19 06:00,0,0,0,0.00%,0,0.00%,0,0,0,0,0.00%,0,0.00%,0
01.01.19 07:00,0,0,0,0.00%,0,0.00%,0,0,0,0,0.00%,0,0.00%,0
01.01.19 08:00,0.009,9,9,0.00%,0,0.00%,0,0.012762,12.762,7.261279,-75.75%,-5.5,75.80%,5.5
01.01.19 09:00,0.109692,109.692,108,1.57%,1.69,1.57%,1.69,0.101399,101.399,98.204962,-3.25%,-3.19,3.30%,3.19
01.01.19 10:00,0.175065,175.065,178,-1.65%,-2.94,1.65%,2.94,0.184102,184.102,189.507993,2.85%,5.41,2.90%,5.41
01.01.19 11:00,0.218248,218.248,221,-1.25%,-2.75,1.25%,2.75,0.243469,243.469,248.621452,2.07%,5.15,2.10%,5.15
01.01.19 12:00,0.219039,219.039,220,-0.44%,-0.96,0.44%,0.96,0.262082,262.082,268.867354,2.52%,6.79,2.50%,6.79
01.01.19 13:00,0.215464,215.464,217,-0.71%,-1.54,0.71%,1.54,0.243511,243.511,248.621452,2.06%,5.11,2.10%,5.11
01.01.19 14:00,0.167578,167.578,169,-0.84%,-1.42,0.84%,1.42,0.178537,178.537,179.924589,0.77%,1.39,0.80%,1.39
01.01.19 15:00,0.092273,92.273,89,3.68%,3.27,3.68%,3.27,0.095613,95.613,89.751161,-6.53%,-5.86,6.50%,5.86
01.01.19 16:00,0.002,2,2,0.00%,0,0.00%,0,0.006205,6.205,3.458233,-79.43%,-2.75,79.40%,2.75
01.01.19 17:00,0,0,0,0.00%,0,0.00%,0,0,0,0,0.00%,0,0.00%,0
01.01.19 18:00,0,0,0,0.00%,0,0.00%,0,0,0,0,0.00%,0,0.00%,0
01.01.19 19:00,0,0,0,0.00%,0,0.00%,0,0,0,0,0.00%,0,0.00%,0
01.01.19 20:00,0,0,0,0.00%,0,0.00%,0,0,0,0,0.00%,0,0.00%,0
01.01.19 21:00,0,0,0,0.00%,0,0.00%,0,0,0,0,0.00%,0,0.00%,0
01.01.19 22:00,0,0,0,0.00%,0,0.00%,0,0,0,0,0.00%,0,0.00%,0
01.01.19 23:00,0,0,0,0.00%,0,0.00%,0,0,0,0,0.00%,0,0.00%,0
02.01.19 00:00,0,0,0,0.00%,0,0.00%,0,0,0,0,0.00%,0,0.00%,0
02.01.19 01:00,0,0,0,0.00%,0,0.00%,0,0,0,0,0.00%,0,0.00%,0
02.01.19 02:00,0,0,0,0.00%,0,0.00%,0,0,0,0,0.00%,0,0.00%,0
02.01.19 03:00,0,0,0,0.00%,0,0.00%,0,0,0,0,0.00%,0,0.00%,0
02.01.19 04:00,0,0,0,0.00%,0,0.00%,0,0,0,0,0.00%,0,0.00%,0
02.01.19 05:00,0,0,0,0.00%,0,0.00%,0,0,0,0,0.00%,0,0.00%,0
02.01.19 06:00,0,0,0,0.00%,0,0.00%,0,0,0,0,0.00%,0,0.00%,0
02.01.19 07:00,0,0,0,0.00%,0,0.00%,0,0,0,0,0.00%,0,0.00%,0
02.01.19 08:00,0.007,7,7,0.00%,0,0.00%,0,0.012763,12.763,7.261279,-75.77%,-5.5,75.80%,5.5
02.01.19 09:00,0.099106,99.106,98,1.13%,1.11,1.13%,1.11,0.10177,101.77,98.204962,-3.63%,-3.57,3.60%,3.57
02.01.19 10:00,0.17177,171.77,174,-1.28%,-2.23,1.28%,2.23,0.184389,184.389,189.507993,2.70%,5.12,2.70%,5.12
02.01.19 11:00,0.229947,229.947,233,-1.31%,-3.05,1.31%,3.05,0.243677,243.677,248.621452,1.99%,4.94,2.00%,4.94
02.01.19 12:00,0.243869,243.869,248,-1.67%,-4.13,1.67%,4.13,0.263042,263.042,268.867354,2.17%,5.83,2.20%,5.83
